BotName Bulent
Time LocX LocY LocZ Health Shoot AltSh EnVis Jump Crouch RotPitch RotYaw Weapon ELocX ELocY ELocZ HVic WVic HTaken WTaken EName
42421 1695.88 -2541.68 -35.44 199 1 1 0 0 0 3856 452 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
HEALTH_PICKED at 42519 1793.0 -2558.0 -22.0
42670 1811.78 -2536.71 14.24 199 0 0 0 0 0 3856 452 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
42916 1935.0 -2531.66 50.0 199 0 0 0 0 0 1285 506 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
43164 2049.89 -2524.02 50.0 199 0 0 0 0 0 257 890 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
43412 2170.2 -2513.83 50.0 199 0 0 0 0 0 257 928 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
43660 2291.96 -2500.8 50.0 199 0 0 0 0 0 257 1598 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
43907 2406.36 -2472.39 50.0 199 0 0 0 0 0 65298 3840 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
44154 2524.24 -2440.56 56.37 199 0 0 0 0 0 64784 400 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
44406 2644.37 -2440.96 56.37 199 0 0 0 0 0 64013 64330 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
44651 2767.77 -2460.48 56.37 199 0 0 0 0 0 63242 63066 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
44899 2884.3 -2479.3 58.85 199 0 0 0 0 0 62213 3646 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
45151 2998.29 -2454.34 30.31 199 0 0 0 0 0 62471 9746 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
45400 3104.03 -2404.76 -65.06 199 0 0 0 0 0 62471 9656 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
45649 3202.8 -2335.21 -233.97 199 0 0 0 0 0 62728 10712 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
45895 3287.54 -2240.63 -366.15 199 0 0 0 0 0 65041 12250 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
46144 3330.93 -2134.51 -366.15 199 0 0 0 0 0 514 12908 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
47436 3457.07 -1549.24 -366.15 199 0 0 0 0 0 771 15276 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
HEALTH_PICKED at 47599 3490.0 -1418.0 -392.0
47601 3463.26 -1441.19 -366.15 199 0 0 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 1 0 1 0 NoName
47847 3464.65 -1322.6 -366.15 199 0 0 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
48099 3465.8 -1202.72 -366.15 199 0 0 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
48343 3466.88 -1091.01 -366.15 199 1 1 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
48589 3468.09 -965.12 -366.15 199 0 0 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 0 1 0 0 NoName
48837 3469.18 -851.69 -366.15 199 0 0 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
49043 3470.19 -745.99 -366.15 199 0 0 0 0 0 771 16284 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
49291 3463.82 -632.11 -366.15 199 0 0 0 0 0 65298 18950 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
49539 3426.91 -511.48 -366.15 199 0 0 0 0 0 64784 20166 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
49788 3385.65 -398.92 -366.15 199 0 0 0 0 0 64527 19740 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
50037 3342.61 -286.19 -366.15 199 0 0 0 0 0 64270 21336 FlakCannon 0.0 0.0 0.0 0 0 0 0 NoName
50287 3284.63 -184.38 -366.15 199 0 0 0 0 0 64013 23486 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
50535 3194.89 -90.78 -324.43 199 0 0 0 1 0 63756 26168 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
50781 3111.12 -16.48 -306.42 199 0 0 0 1 0 63756 26436 FlakCannon 0.0 0.0 0.0 1 0 0 0 NoName
